"管脚
序号","管脚
名称","管脚
类型","供电
管脚",管脚配置,,IO MUX 功能,,,,,,,,LP IO MUX 功能,,,,模拟功能,
,,,,复位时,复位后,F0,类型,F1,类型,F2,类型,F3,类型,F0,类型,F1,类型,F0,F1
1, GPIO1 , IO , VDD_LP/VDD_BAT , -- , -- , GPIO1 , I/O/T , GPIO1 , I/O/T , -- , -- , -- , -- , LP_GPIO1 , I/O/T , LP_GPIO1 , I/O/T , XTAL_32K_P ,--
2, GPIO2 , IO , VDD_LP/VDD_BAT , -- ," IE, WPU ",MTCK , I1 , GPIO2 , I/O/T , -- , -- , -- , -- , LP_GPIO2 , I/O/T , LP_GPIO2 , I/O/T , TOUCH_CHANNEL1 ,--
3, GPIO3 , IO , VDD_LP/VDD_BAT , -- , IE ,MTDI , I1 , GPIO3 , I/O/T , -- , -- , -- , -- , LP_GPIO3 , I/O/T , LP_GPIO3 , I/O/T , TOUCH_CHANNEL2 ,--
4, GPIO4 , IO , VDD_LP , -- , IE ,MTMS , I0 , GPIO4 , I/O/T , -- , -- , -- , -- , LP_GPIO4 , I/O/T , LP_GPIO4 , I/O/T , TOUCH_CHANNEL3 ,--
5, GPIO5 , IO , VDD_LP , -- , -- ,MTDO , O/T , GPIO5 , I/O/T , -- , -- , -- , -- , LP_GPIO5 , I/O/T , LP_GPIO5 , I/O/T , TOUCH_CHANNEL4 ,--
6, GPIO6 , IO , VDD_LP , -- , -- , GPIO6 , I/O/T , GPIO6 , I/O/T , -- , -- , SPI2_HOLD_PAD , I1/O/T , LP_GPIO6 , I/O/T , LP_GPIO6 , I/O/T , TOUCH_CHANNEL5 ,--
7, GPIO7 , IO , VDD_LP , -- , -- , GPIO7 , I/O/T , GPIO7 , I/O/T , -- , -- , SPI2_CS_PAD , I1/O/T , LP_GPIO7 , I/O/T , LP_GPIO7 , I/O/T , TOUCH_CHANNEL6 ,--
8, GPIO8 , IO , VDD_LP , -- , -- , GPIO8 , I/O/T , GPIO8 , I/O/T , -- , -- , SPI2_D_PAD , I1/O/T , LP_GPIO8 , I/O/T , LP_GPIO8 , I/O/T , TOUCH_CHANNEL7 ,--
9, VDD_LP , 电源 , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
10, GPIO9 , IO , VDD_LP , -- , -- , GPIO9 , I/O/T , GPIO9 , I/O/T , -- , -- , SPI2_CK_PAD , I1/O/T , LP_GPIO9 , I/O/T , LP_GPIO9 , I/O/T , TOUCH_CHANNEL8 ,--
11, GPIO10 , IO , VDD_LP , -- , -- , GPIO10 , I/O/T , GPIO10 , I/O/T , -- , -- , SPI2_Q_PAD , I1/O/T , LP_GPIO10 , I/O/T , LP_GPIO10 , I/O/T , TOUCH_CHANNEL9 ,--
12, GPIO11 , IO , VDD_LP , -- , -- , GPIO11 , I/O/T , GPIO11 , I/O/T , -- , -- , SPI2_WP_PAD , I1/O/T , LP_GPIO11 , I/O/T , LP_GPIO11 , I/O/T , TOUCH_CHANNEL10 ,--
13, GPIO12 , IO , VDD_LP , -- , -- , GPIO12 , I/O/T , GPIO12 , I/O/T , -- , -- , -- , -- , LP_GPIO12 , I/O/T , LP_GPIO12 , I/O/T , TOUCH_CHANNEL11 ,--
14, GPIO13 , IO , VDD_LP , -- , -- , GPIO13 , I/O/T , GPIO13 , I/O/T , -- , -- , -- , -- , LP_GPIO13 , I/O/T , LP_GPIO13 , I/O/T , TOUCH_CHANNEL12 ,--
15, GPIO14 , IO , VDD_LP , -- , -- , GPIO14 , I/O/T , GPIO14 , I/O/T , -- , -- , -- , -- , LP_UART_TXD_PAD , O , LP_GPIO14 , I/O/T , TOUCH_CHANNEL13 ,--
16, GPIO15 , IO , VDD_LP , -- , -- , GPIO15 , I/O/T , GPIO15 , I/O/T , -- , -- , -- , -- , LP_UART_RXD_PAD , I1 , LP_GPIO15 , I/O/T , TOUCH_CHANNEL14 ,--
17, GPIO16 , IO , VDD_IO_0 , -- , -- , GPIO16 , I/O/T , GPIO16 , I/O/T , -- , -- , -- , -- , -- , -- , -- , -- , ADC1_CHANNEL0 ,--
18, GPIO17 , IO , VDD_IO_0 , -- , -- , GPIO17 , I/O/T , GPIO17 , I/O/T , -- , -- , -- , -- , -- , -- , -- , -- , ADC1_CHANNEL1 ,--
19, GPIO18 , IO , VDD_IO_0 , -- , -- , GPIO18 , I/O/T , GPIO18 , I/O/T , -- , -- , -- , -- , -- , -- , -- , -- , ADC1_CHANNEL2 ,--
20, GPIO19 , IO , VDD_IO_0 , -- , -- , GPIO19 , I/O/T , GPIO19 , I/O/T , -- , -- , -- , -- , -- , -- , -- , -- , ADC1_CHANNEL3 ,--
21, VDD_IO_0 , 电源 , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
22, GPIO20 , IO , VDD_IO_0 , -- , -- , GPIO20 , I/O/T , GPIO20 , I/O/T , -- , -- , -- , -- , -- , -- , -- , -- , ADC1_CHANNEL4 ,--
23, GPIO21 , IO , VDD_IO_0 , -- , -- , GPIO21 , I/O/T , GPIO21 , I/O/T , -- , -- , -- , -- , -- , -- , -- , -- , ADC1_CHANNEL5 ,--
24, GPIO22 , IO , VDD_IO_0 , -- , -- , GPIO22 , I/O/T , GPIO22 , I/O/T , -- , -- , -- , -- , -- , -- , -- , -- , ADC1_CHANNEL6 ,--
25, GPIO23 , IO , VDD_IO_0 , -- , -- , GPIO23 , I/O/T , GPIO23 , I/O/T , -- , -- , REF_50M_CLK_PAD , O , -- , -- , -- , -- , ADC1_CHANNEL7 ,--
26, VDD_HP_0 , 电源 , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
